Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
Portraits (set 1),Portraits,portraits,portraits,1,1,main,main,Portraits,Portraits,SAME,0,,,
Pot of Gold,Pot of Gold,potofgold,pot of gold,0,0,,,,,SAME,0,,,
"Poto Poto (Japan, Rev A)",Poto Poto,potopoto,poto poto,1,1,main,main,Poto Poto,Poto Poto,SAME,0,,,
Pound for Pound (World),Pound for Pound,poundforpound,pound for pound,1,1,main,main,Pound for Pound,Pound for Pound,SAME,0,,,
Power Balls,Power Balls,powerballs,power balls,1,1,main,main,Power Balls,Power Balls,SAME,0,,,
"Power Drift - Link Version (Japan, Rev A)",Power Drift - Link Version,powerdriftlinkversion,power drift link version,0,0,,,,,SAME,0,,,
"Power Drift (World, Rev A)",Power Drift,powerdrift,power drift,1,1,main,main,Power Drift,Power Drift,SAME,0,,,
Power Drive,Power Drive,powerdrive,power drive,1,1,main,main,Power Drive,Power Drive,SAME,0,,,
Power Flipper Pinball Shooting (v1.33),Power Flipper Pinball Shooting,powerflipperpinballshooting,power flipper pinball shooting,1,1,main,main,Power Flipper Pinball Shooting,Power Flipper Pinball Shooting,SAME,0,,,
Power Instinct (USA),Power Instinct,powerinstinct,power instinct,1,1,main,main,Power Instinct,Power Instinct,SAME,0,,,
Power Kick (Japan),Power Kick,powerkick,power kick,1,1,main,main,Power Kick,Power Kick,SAME,0,,,
Power Play,Power Play,powerplay,power play,1,1,main,main,Power Play,Power Play,SAME,0,,,
Power Spikes (World),Power Spikes,powerspikes,power spikes,1,1,main,main,Power Spikes,Power Spikes,SAME,0,,,
Power Surge,Power Surge,powersurge,power surge,0,0,,,,,SAME,0,,,
Powerful Chance,Powerful Chance,powerfulchance,powerful chance,0,0,,,,,SAME,0,,,
Prebillian,Prebillian,prebillian,prebillian,1,1,main,main,Prebillian,Prebillian,SAME,0,,,
Prehistoric Isle in 1930 (World),Prehistoric Isle in 1930,prehistoricislein1930,prehistoric isle in 1930,1,1,main,main,Prehistoric Isle in 1930,Prehistoric Isle in 1930,SAME,0,,,
Premier Soccer (ver EAB),Premier Soccer,premiersoccer,premier soccer,1,1,main,main,Premier Soccer,Premier Soccer,SAME,0,,,
"Primal Rage (version 2.3, Jan 1995)",Primal Rage,primalrage,primal rage,1,1,main,main,Primal Rage,Primal Rage,SAME,0,,,
Primal Rage II (Test Version 0.36a),Primal Rage II,primalrage2,primal rage ii,1,0,main,,Primal Rage 2,,WORSE,0,,,
Prime Time Fighter (Ver 2.1A 19930521) (New Version),Prime Time Fighter,primetimefighter,prime time fighter,1,1,main,main,Prime Time Fighter,Prime Time Fighter,SAME,0,,,
Princess Clara Daisakusen (J 960910 V1.000),Princess Clara Daisakusen,princessclaradaisakusen,princess clara daisakusen,1,1,main,main,Princess Clara Daisakusen,Princess Clara Daisakusen,SAME,0,,,
Pro Baseball Skill Tryout (Japan),Pro Baseball Skill Tryout,probaseballskilltryout,pro baseball skill tryout,1,1,main,main,Pro Baseball Skill Tryout,Pro Baseball Skill Tryout,SAME,0,,,
Pro Bowling (DECO Cassette) (US),Pro Bowling,probowling,pro bowling,1,1,main,main,Pro Bowling,Pro Bowling,SAME,0,,,
"Pro Cycle Tele Cardioline (Salter Fitness Bike V.1.0, Checksum 02AB)",Pro Cycle Tele Cardioline,procycletelecardioline,pro cycle tele cardioline,1,1,main,main,Pro Cycle Tele Cardioline,Pro Cycle Tele Cardioline,SAME,0,,,
Pro Soccer,Pro Soccer,prosoccer,pro soccer,1,1,main,main,Pro Soccer,Pro Soccer,SAME,0,,,
Pro Soccer (DECO Cassette) (US),Pro Soccer,prosoccer,pro soccer,1,1,main,main,Pro Soccer,Pro Soccer,SAME,0,,,
"Pro Sports - Bowling, Tennis, and Golf","Pro Sports - Bowling, Tennis, and Golf",prosportsbowlingtennisandgolf,pro sports bowling tennis and golf,1,1,main,main,"Pro Sports: Bowling, Tennis, and Golf","Pro Sports: Bowling, Tennis, and Golf",SAME,0,,,
"Pro Stepper Tele Cardioline (Salter Fitness Stepper V.1.0, Checksum F208)",Pro Stepper Tele Cardioline,prosteppertelecardioline,pro stepper tele cardioline,1,1,main,main,Pro Stepper Tele Cardioline,Pro Stepper Tele Cardioline,SAME,0,,,
