Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
Fire Shark,Fire Shark,fireshark,fire shark,1,1,main,main,Fire Shark,Fire Shark,SAME,0,,,
"Fire Trap (US, rev A)",Fire Trap,firetrap,fire trap,1,0,main,,FireTrap,,WORSE,0,,,
Fire Truck / Smokey Joe (PROM version),Fire Truck / Smokey Joe,firetrucksmokeyjoe,fire truck smokey joe,0,0,,,,,SAME,0,,,
Fisherman's Bait - A Bass Challenge (GE765 VER. UAB),Fisherman's Bait - A Bass Challenge,fishermansbaitabasschallenge,fisherman s bait a bass challenge,1,1,main,main,Fisherman's Bait: A Bass Challenge,Fisherman's Bait: A Bass Challenge,SAME,0,,,
Fisherman's Bait - Marlin Challenge (GX889 VER. EA),Fisherman's Bait - Marlin Challenge,fishermansbaitmarlinchallenge,fisherman s bait marlin challenge,1,1,main,main,Fisherman's Bait: Marlin Challenge,Fisherman's Bait: Marlin Challenge,SAME,0,,,
Fisherman's Bait 2 - A Bass Challenge (GE865 VER. UAB),Fisherman's Bait 2 - A Bass Challenge,fishermansbait2abasschallenge,fisherman s bait 2 a bass challenge,1,1,main,main,Fisherman's Bait 2: A Bass Challenge,Fisherman's Bait 2: A Bass Challenge,SAME,0,,,
Fishing Maniac 2+,Fishing Maniac 2+,fishingmaniac2,fishing maniac 2,1,1,main,main,Fishing Maniac 2+,Fishing Maniac 2+,SAME,0,,,
Fishing Maniac 3,Fishing Maniac 3,fishingmaniac3,fishing maniac 3,1,1,main,main,Fishing Maniac 3,Fishing Maniac 3,SAME,0,,,
Five a Side Soccer (ver UAA),Five a Side Soccer,fiveasidesoccer,five a side soccer,1,1,main,main,Five a Side Soccer,Five a Side Soccer,SAME,0,,,
FixEight (Europe),FixEight,fixeight,fixeight,1,1,main,main,FixEight,FixEight,SAME,0,,,
Flame Gunner (Export),Flame Gunner,flamegunner,flame gunner,1,1,main,main,Flame Gunner,Flame Gunner,SAME,0,,,
"Flash Boy (vertical) (DECO Cassette MD) (No.12Ver.0Set.1,Japan)",Flash Boy,flashboy,flash boy,1,1,main,main,Flash Boy,Flash Boy,SAME,0,,,
"Flash Point (set 2, Japan) (FD1094 317-0127A)",Flash Point,flashpoint,flash point,1,1,main,main,Flash Point,Flash Point,SAME,0,,,
Flashgal (set 1),Flashgal,flashgal,flashgal,1,1,main,main,FlashGal,FlashGal,SAME,0,,,
"Flicky (128k Version, 315-5051)",Flicky,flicky,flicky,1,1,main,main,Flicky,Flicky,SAME,0,,,
Flip &amp;amp;amp;amp; Flop (Max-A-Flex),Flip &amp;amp;amp;amp; Flop,flipampampampampflop,flip amp amp amp amp flop,0,0,,,,,SAME,0,,,
Flip Maze (V2.04J 19990902 2000),Flip Maze,flipmaze,flip maze,1,1,main,main,Flip Maze,Flip Maze,SAME,0,,,
Flipper Jack,Flipper Jack,flipperjack,flipper jack,1,1,main,main,Flipper Jack,Flipper Jack,SAME,0,,,
Flower (US),Flower,flower,flower,1,1,main,main,Flower,Flower,SAME,0,,,
Flyball (rev 2),Flyball,flyball,flyball,1,1,main,main,Flyball,Flyball,SAME,0,,,
Fly-Boy,Fly-Boy,flyboy,fly boy,0,0,,,,,SAME,0,,,
Flying Ball (DECO Cassette) (US),Flying Ball,flyingball,flying ball,1,1,main,main,Flying Ball,Flying Ball,SAME,0,,,
Flying Shark (World),Flying Shark,flyingshark,flying shark,0,0,,,,,SAME,0,,,
Flying Tiger (set 1),Flying Tiger,flyingtiger,flying tiger,1,1,main,main,Flying Tiger,Flying Tiger,SAME,0,,,
Food Fight (rev 3),Food Fight,foodfight,food fight,1,1,main,main,Food Fight,Food Fight,SAME,0,,,
Fool Race,Fool Race,foolrace,fool race,0,0,,,,,SAME,0,,,
Football Champ  Euro Football Champ (World),Football Champ  Euro Football Champ,footballchampeurofootballchamp,football champ euro football champ,0,0,,,,,SAME,0,,,
Football Crazy (Video Quiz),Football Crazy,footballcrazy,football crazy,1,1,main,main,Football Crazy,Football Crazy,SAME,0,,,
Football Power (version 1.2),Football Power,footballpower,football power,1,1,main,main,Football Power,Football Power,SAME,0,,,
Formation Z,Formation Z,formationz,formation z,0,0,,,,,SAME,0,,,
Fortress 2 Blue Arcade (World) (ver 1.01 / pcb ver 3.05),Fortress 2 Blue Arcade,fortress2bluearcade,fortress 2 blue arcade,1,1,main,main,Fortress 2: Blue Arcade,Fortress 2: Blue Arcade,SAME,0,,,
Forty-Love (World),Forty-Love,fortylove,forty love,1,1,main,main,Forty-Love,Forty-Love,SAME,0,,,
Four Play,Four Play,fourplay,four play,1,1,main,main,Four Play,Four Play,SAME,0,,,
Four Trax (World),Four Trax,fourtrax,four trax,1,1,main,main,Four Trax,Four Trax,SAME,0,,,
Frantic Fred (Release 2),Frantic Fred,franticfred,frantic fred,1,1,main,main,Frantic Fred,Frantic Fred,SAME,0,,,
Free Kick (NS6201-A 1987.10),Free Kick,freekick,free kick,1,1,main,main,Free Kick,Free Kick,SAME,0,,,
Freeze,Freeze,freeze,freeze,0,0,,,,,SAME,0,,,
Frenzy (revision RA1),Frenzy,frenzy,frenzy,1,1,main,main,Frenzy,Frenzy,SAME,0,,,
Frisky Tom (set 1),Frisky Tom,friskytom,frisky tom,1,1,main,main,Frisky Tom,Frisky Tom,SAME,0,,,
Frog &amp;amp;amp;amp; Spiders (bootleg),Frog &amp;amp;amp;amp; Spiders,frogampampampampspiders,frog amp amp amp amp spiders,0,0,,,,,SAME,0,,,
Frogger,Frogger,frogger,frogger,1,1,main,main,Frogger,Frogger,SAME,0,,,
Frogs,Frogs,frogs,frogs,1,1,main,main,Frogs,Frogs,SAME,0,,,
From TV Animation Slam Dunk - Super Slams,From TV Animation Slam Dunk - Super Slams,fromtvanimationslamdunksuperslams,from tv animation slam dunk super slams,1,1,main,main,From TV Animation Slam Dunk: Super Slams,From TV Animation Slam Dunk: Super Slams,SAME,0,,,
"Front Line (AA1, 4 PCB version)",Front Line,frontline,front line,1,1,main,main,Front Line,Front Line,SAME,0,,,
Funcube (v1.5),Funcube,funcube,funcube,1,1,main,main,Funcube,Funcube,SAME,0,,,
Funcube 2 (v1.1),Funcube 2,funcube2,funcube 2,1,1,main,main,Funcube 2,Funcube 2,SAME,0,,,
Funcube 3 (v1.1),Funcube 3,funcube3,funcube 3,1,1,main,main,Funcube 3,Funcube 3,SAME,0,,,
Funcube 4 (v1.0),Funcube 4,funcube4,funcube 4,1,1,main,main,Funcube 4,Funcube 4,SAME,0,,,
Funcube 5 (v1.0),Funcube 5,funcube5,funcube 5,1,1,main,main,Funcube 5,Funcube 5,SAME,0,,,
Funky Bee,Funky Bee,funkybee,funky bee,1,1,main,main,Funky Bee,Funky Bee,SAME,0,,,
Funky Fish,Funky Fish,funkyfish,funky fish,1,1,main,main,Funky Fish,Funky Fish,SAME,0,,,
Funky Head Boxers (JUETBKAL 951218 V1.000),Funky Head Boxers,funkyheadboxers,funky head boxers,1,1,main,main,Funky Head Boxers,Funky Head Boxers,SAME,0,,,
"Funky Jet (World, rev 1)",Funky Jet,funkyjet,funky jet,1,1,main,main,Funky Jet,Funky Jet,SAME,0,,,
Funny Bubble,Funny Bubble,funnybubble,funny bubble,1,1,main,main,Funny Bubble,Funny Bubble,SAME,0,,,
Funny Strip,Funny Strip,funnystrip,funny strip,1,1,main,main,Funny Strip,Funny Strip,SAME,0,,,
Future Flash (set 1),Future Flash,futureflash,future flash,0,0,,,,,SAME,0,,,
Future Spy (315-5061),Future Spy,futurespy,future spy,1,1,main,main,Future Spy,Future Spy,SAME,0,,,
Fuusen Pentai,Fuusen Pentai,fuusenpentai,fuusen pentai,1,1,main,main,Fuusen Pentai,Fuusen Pentai,SAME,0,,,
"G.I. Joe (World, EAB, set 1)",G.I. Joe,gijoe,g i joe,1,1,main,main,G.I. Joe,G.I. Joe,SAME,0,,,
Gacha Gachamp (GE877 VER. JAB),Gacha Gachamp,gachagachamp,gacha gachamp,1,0,main,,Gachaga Champ,,WORSE,0,,,
Gaia - The Last Choice of Earth,Gaia - The Last Choice of Earth,gaiathelastchoiceofearth,gaia the last choice of earth,0,0,,,,,SAME,0,,,
Gaiapolis (ver EAF),Gaiapolis,gaiapolis,gaiapolis,1,1,main,main,Gaiapolis,Gaiapolis,SAME,0,,,
"Gain Ground (World, 3 Players, Floppy Based, FD1094 317-0058-03d Rev A)",Gain Ground,gainground,gain ground,1,1,main,main,Gain Ground,Gain Ground,SAME,0,,,
Galactic Storm (Japan),Galactic Storm,galacticstorm,galactic storm,1,1,main,main,Galactic Storm,Galactic Storm,SAME,0,,,
Galactic Warriors,Galactic Warriors,galacticwarriors,galactic warriors,1,1,main,main,Galactic Warriors,Galactic Warriors,SAME,0,,,
Galactica - Batalha Espacial,Galactica - Batalha Espacial,galacticabatalhaespacial,galactica batalha espacial,1,1,main,main,Galactica: Batalha Espacial,Galactica: Batalha Espacial,SAME,0,,,
Galaga (Namco rev. B),Galaga,galaga,galaga,1,1,main,main,Galaga,Galaga,SAME,0,,,
Galaga 3 (GP3 rev. D),Galaga 3,galaga3,galaga 3,1,1,main,main,Galaga 3,Galaga 3,SAME,0,,,
Galaga '88,Galaga '88,galaga88,galaga 88,1,1,main,main,Galaga '88,Galaga '88,SAME,0,,,
Galaxia (set 1),Galaxia,galaxia,galaxia,1,1,main,main,Galaxia,Galaxia,SAME,0,,,
Galaxian (Namco set 1),Galaxian,galaxian,galaxian,1,1,main,main,Galaxian,Galaxian,SAME,0,,,
Galaxy Force 2,Galaxy Force 2,galaxyforce2,galaxy force 2,1,0,main,,Galaxy Force II,,WORSE,0,,,
Galaxy Game,Galaxy Game,galaxygame,galaxy game,1,1,main,main,Galaxy Game,Galaxy Game,SAME,0,,,
Galaxy Games StarPak 2,Galaxy Games StarPak 2,galaxygamesstarpak2,galaxy games starpak 2,1,1,main,main,Galaxy Games StarPak 2,Galaxy Games StarPak 2,SAME,0,,,
Galaxy Games StarPak 3,Galaxy Games StarPak 3,galaxygamesstarpak3,galaxy games starpak 3,1,1,main,main,Galaxy Games StarPak 3,Galaxy Games StarPak 3,SAME,0,,,
Galaxy Games StarPak 4,Galaxy Games StarPak 4,galaxygamesstarpak4,galaxy games starpak 4,1,1,main,main,Galaxy Games StarPak 4,Galaxy Games StarPak 4,SAME,0,,,
Galaxy Gunners,Galaxy Gunners,galaxygunners,galaxy gunners,1,1,main,main,Galaxy Gunners,Galaxy Gunners,SAME,0,,,
Galaxy Wars (Universal set 1),Galaxy Wars,galaxywars,galaxy wars,1,1,main,main,Galaxy Wars,Galaxy Wars,SAME,0,,,
Gallop Racer (English Ver 10.17.K),Gallop Racer,gallopracer,gallop racer,1,1,main,main,Gallop Racer,Gallop Racer,SAME,0,,,
Gallop Racer 2 (Export),Gallop Racer 2,gallopracer2,gallop racer 2,1,1,main,main,Gallop Racer 2,Gallop Racer 2,SAME,0,,,
Gallop Racer 3 (Export),Gallop Racer 3,gallopracer3,gallop racer 3,1,1,main,main,Gallop Racer 3,Gallop Racer 3,SAME,0,,,
Galmedes (Japan),Galmedes,galmedes,galmedes,1,1,main,main,Galmedes,Galmedes,SAME,0,,,
Gals Hustler,Gals Hustler,galshustler,gals hustler,1,1,main,main,Gals Hustler,Gals Hustler,SAME,0,,,
"Gals Panic (Export, EXPRO-02 PCB)",Gals Panic,galspanic,gals panic,1,1,main,main,Gals Panic,Gals Panic,SAME,0,,,
"Gals Panic (unprotected, ver. 2.0)",Gals Panic,galspanic,gals panic,1,1,main,main,Gals Panic,Gals Panic,SAME,0,,,
Gals Panic 3 (Euro),Gals Panic 3,galspanic3,gals panic 3,1,1,main,main,Gals Panic 3,Gals Panic 3,SAME,0,,,
Gals Panic 4 (Europe),Gals Panic 4,galspanic4,gals panic 4,1,1,main,main,Gals Panic 4,Gals Panic 4,SAME,0,,,
Gals Panic II - Quiz Version,Gals Panic II - Quiz Version,galspanic2quizversion,gals panic ii quiz version,1,1,main,main,Gals Panic II: Quiz Version,Gals Panic II: Quiz Version,SAME,0,,,
Gals Panic II' - Special Edition (Japan),Gals Panic II' - Special Edition,galspanic2specialedition,gals panic ii special edition,1,1,main,main,Gals Panic II': Special Edition,Gals Panic II': Special Edition,SAME,0,,,
Gals Panic II (Asia),Gals Panic II,galspanic2,gals panic ii,1,1,main,main,Gals Panic II,Gals Panic II,SAME,0,,,
"Gals Panic S - Extra Edition (Europe, revision 1)",Gals Panic S - Extra Edition,galspanicsextraedition,gals panic s extra edition,1,1,main,main,Gals Panic S: Extra Edition,Gals Panic S: Extra Edition,SAME,0,,,
"Gals Panic S2 (Europe, version 3)",Gals Panic S2,galspanics2,gals panic s2,1,1,main,main,Gals Panic S2,Gals Panic S2,SAME,0,,,
Gals Panic S3 (Japan),Gals Panic S3,galspanics3,gals panic s3,1,1,main,main,Gals Panic S3,Gals Panic S3,SAME,0,,,
"Gals Panic SU (Korea, Gals Panic 4 re-release)",Gals Panic SU,galspanicsu,gals panic su,1,1,main,main,Gals Panic SU,Gals Panic SU,SAME,0,,,
Gals Pinball,Gals Pinball,galspinball,gals pinball,1,1,main,main,Gals Pinball,Gals Pinball,SAME,0,,,
Ganbare Ginkun,Ganbare Ginkun,ganbareginkun,ganbare ginkun,1,1,main,main,Ganbare Ginkun,Ganbare Ginkun,SAME,0,,,
Ganbare Goemon,Ganbare Goemon,ganbaregoemon,ganbare goemon,1,1,main,main,Ganbare Goemon,Ganbare Goemon,SAME,0,,,
Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step &amp;amp;amp;amp; Jump,Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step &amp;amp;amp;amp; Jump,ganbarejajamarusaishowagooganbarejajamaruhopstepampampampampjump,ganbare jajamaru saisho wa goo ganbare jajamaru hop step amp amp amp amp jump,0,0,,,,,SAME,0,,,
Gang Busters (set 1),Gang Busters,gangbusters,gang busters,1,1,main,main,Gang Busters,Gang Busters,SAME,0,,,
Gang Wars,Gang Wars,gangwars,gang wars,1,1,main,main,Gang Wars,Gang Wars,SAME,0,,,
Gaplus (GP2 rev. B),Gaplus,gaplus,gaplus,0,0,,,,,SAME,0,,,
Gardia (317-0006),Gardia,gardia,gardia,1,1,main,main,Gardia,Gardia,SAME,0,,,
Garogun Seroyang (Korea),Garogun Seroyang,garogunseroyang,garogun seroyang,1,1,main,main,Garogun Seroyang,Garogun Seroyang,SAME,0,,,
Garyo Retsuden (Japan),Garyo Retsuden,garyoretsuden,garyo retsuden,1,1,main,main,Garyo Retsuden,Garyo Retsuden,SAME,0,,,
Gate of Doom (US revision 4),Gate of Doom,gateofdoom,gate of doom,1,1,main,main,Gate of Doom,Gate of Doom,SAME,0,,,
Gauntlet (rev 14),Gauntlet,gauntlet,gauntlet,1,1,main,main,Gauntlet,Gauntlet,SAME,0,,,
Gauntlet Dark Legacy (version DL 2.52),Gauntlet Dark Legacy,gauntletdarklegacy,gauntlet dark legacy,1,1,main,main,Gauntlet: Dark Legacy,Gauntlet: Dark Legacy,SAME,0,,,
Gauntlet II,Gauntlet II,gauntlet2,gauntlet ii,1,1,main,main,Gauntlet II,Gauntlet II,SAME,0,,,
Gauntlet Legends (version 1.6),Gauntlet Legends,gauntletlegends,gauntlet legends,1,1,main,main,Gauntlet Legends,Gauntlet Legends,SAME,0,,,
G-Darius (Ver 2.02A),G-Darius,gdarius,g darius,1,1,main,main,G-Darius,G-Darius,SAME,0,,,
G-Darius Ver.2 (Ver 2.03J),G-Darius Ver.2,gdariusver2,g darius ver 2,1,1,main,main,G-Darius Ver.2,G-Darius Ver.2,SAME,0,,,
Gee Bee (Japan),Gee Bee,geebee,gee bee,1,1,main,main,Gee Bee,Gee Bee,SAME,0,,,
Gekirindan (Ver 2.3O 19950921),Gekirindan,gekirindan,gekirindan,1,1,main,main,Gekirindan,Gekirindan,SAME,0,,,
Gekisou (Japan),Gekisou,gekisou,gekisou,1,1,main,main,Gekisou,Gekisou,SAME,0,,,
GekiToride-Jong Space (10011 Ver.A),GekiToride-Jong Space,gekitoridejongspace,gekitoride jong space,1,1,main,main,Gekitoride-Jong Space,Gekitoride-Jong Space,SAME,0,,,
Gemini Wing (World),Gemini Wing,geminiwing,gemini wing,1,1,main,main,Gemini Wing,Gemini Wing,SAME,0,,,
Genix Family,Genix Family,genixfamily,genix family,1,1,main,main,Genix Family,Genix Family,SAME,0,,,
Genpei ToumaDen,Genpei ToumaDen,genpeitoumaden,genpei toumaden,1,1,main,main,Genpei ToumaDen,Genpei ToumaDen,SAME,0,,,
Get A Way (upright),Get A Way,getaway,get a way,1,1,main,main,Get A Way,Get A Way,SAME,0,,,
Ghost Hunter,Ghost Hunter,ghosthunter,ghost hunter,1,1,main,main,Ghost Hunter,Ghost Hunter,SAME,0,,,
Ghosts'n Goblins (World? set 1),Ghosts'n Goblins,ghostsngoblins,ghosts n goblins,1,1,main,main,Ghosts'n Goblins,Ghosts'n Goblins,SAME,0,,,
Ghox (joystick),Ghox,ghox,ghox,1,1,main,main,Ghox,Ghox,SAME,0,,,
Gigandes,Gigandes,gigandes,gigandes,1,1,main,main,Gigandes,Gigandes,SAME,0,,,
"Gigas (MC-8123, 317-5002)",Gigas,gigas,gigas,1,1,main,main,Gigas,Gigas,SAME,0,,,
"Gigas Mark II (MC-8123, 317-5002)",Gigas Mark II,gigasmark2,gigas mark ii,1,1,main,main,Gigas Mark II,Gigas Mark II,SAME,0,,,
Gimme A Break (7785),Gimme A Break,gimmeabreak,gimme a break,1,1,main,main,Gimme a Break,Gimme a Break,SAME,0,,,
Ginga Ninkyouden (set 1),Ginga Ninkyouden,ginganinkyouden,ginga ninkyouden,1,1,main,main,Ginga NinkyouDen,Ginga NinkyouDen,SAME,0,,,
Gladiator (US),Gladiator,gladiator,gladiator,1,1,main,main,The Gladiator,The Gladiator,SAME,0,,,
Gladiator 1984,Gladiator 1984,gladiator1984,gladiator 1984,1,1,main,main,Gladiator 1984,Gladiator 1984,SAME,0,,,
"Glass (Ver 1.1, Break Edition, Checksum 49D5E66B, Version 1994)",Glass,glass,glass,1,1,main,main,Glass,Glass,SAME,0,,,
Global Champion (Ver 2.1A 19940729),Global Champion,globalchampion,global champion,0,0,,,,,SAME,0,,,
G-LOC Air Battle (World),G-LOC Air Battle,glocairbattle,g loc air battle,1,1,main,main,G-LOC: Air Battle,G-LOC: Air Battle,SAME,0,,,
Go By RC (V2.03O 19990525 1331),Go By RC,gobyrc,go by rc,0,0,,,,,SAME,0,,,
Go Go Mr. Yamaguchi  Yuke Yuke Yamaguchi-kun,Go Go Mr. Yamaguchi  Yuke Yuke Yamaguchi-kun,gogomryamaguchiyukeyukeyamaguchikun,go go mr yamaguchi yuke yuke yamaguchi kun,0,0,,,,,SAME,0,,,
Goalie Ghost,Goalie Ghost,goalieghost,goalie ghost,1,1,main,main,Goalie Ghost,Goalie Ghost,SAME,0,,,
Godzilla (Japan),Godzilla,godzilla,godzilla,1,1,main,main,Godzilla,Godzilla,SAME,0,,,
"Goindol (SunA, World)",Goindol,goindol,goindol,1,1,main,main,Goindol,Goindol,SAME,0,,,
Gold Bug,Gold Bug,goldbug,gold bug,1,1,main,main,Gold Bug,Gold Bug,SAME,0,,,
"Gold Medalist (set 1, Alpha68k II PCB)",Gold Medalist,goldmedalist,gold medalist,1,1,main,main,Gold Medalist,Gold Medalist,SAME,0,,,
Golden Axe - The Duel (JUETL 950117 V1.000),Golden Axe - The Duel,goldenaxetheduel,golden axe the duel,1,1,main,main,Golden Axe: The Duel,Golden Axe: The Duel,SAME,0,,,
"Golden Axe (set 6, US) (8751 317-123A)",Golden Axe,goldenaxe,golden axe,1,1,main,main,Golden Axe,Golden Axe,SAME,0,,,
Golden Axe II (Mega Play) (Rev B),Golden Axe II,goldenaxe2,golden axe ii,1,1,main,main,Golden Axe II,Golden Axe II,SAME,0,,,
"Golden Axe: The Revenge of Death Adder (World, Rev B)",Golden Axe: The Revenge of Death Adder,goldenaxetherevengeofdeathadder,golden axe the revenge of death adder,1,1,main,main,Golden Axe: The Revenge of Death Adder,Golden Axe: The Revenge of Death Adder,SAME,0,,,
Golden Fire II,Golden Fire II,goldenfire2,golden fire ii,1,1,main,main,Golden Fire II,Golden Fire II,SAME,0,,,
"Golden Par Golf (Joystick, V1.1)",Golden Par Golf,goldenpargolf,golden par golf,1,1,main,main,Golden Par Golf,Golden Par Golf,SAME,0,,,
Golden Tee 2K (v1.00),Golden Tee 2K,goldentee2k,golden tee 2k,1,1,main,main,Golden Tee 2K,Golden Tee 2K,SAME,0,,,
Golden Tee 3D Golf (v1.93N),Golden Tee 3D Golf,goldentee3dgolf,golden tee 3d golf,1,1,main,main,Golden Tee 3D Golf,Golden Tee 3D Golf,SAME,0,,,
Golden Tee '97 (v1.30),Golden Tee '97,goldentee97,golden tee 97,1,1,main,main,Golden Tee '97,Golden Tee '97,SAME,0,,,
Golden Tee '98 (v1.10),Golden Tee '98,goldentee98,golden tee 98,1,1,main,main,Golden Tee '98,Golden Tee '98,SAME,0,,,
Golden Tee '99 (v1.00),Golden Tee '99,goldentee99,golden tee 99,1,1,main,main,Golden Tee '99,Golden Tee '99,SAME,0,,,
Golden Tee Classic (v1.00),Golden Tee Classic,goldenteeclassic,golden tee classic,1,1,main,main,Golden Tee Classic,Golden Tee Classic,SAME,0,,,
Golden Tee Diamond Edition Tournament (v3.05T ELC),Golden Tee Diamond Edition Tournament,goldenteediamondeditiontournament,golden tee diamond edition tournament,1,1,main,main,Golden Tee: Diamond Edition Tournament,Golden Tee: Diamond Edition Tournament,SAME,0,,,
Golden Tee Fore! (v1.00.25),Golden Tee Fore!,goldenteefore,golden tee fore,1,1,main,main,Golden Tee Fore!,Golden Tee Fore!,SAME,0,,,
Golden Tee Fore! 2002 (v2.01.06),Golden Tee Fore! 2002,goldenteefore2002,golden tee fore 2002,1,1,main,main,Golden Tee Fore! 2002,Golden Tee Fore! 2002,SAME,0,,,
Golden Tee Fore! 2003 (v3.00.10),Golden Tee Fore! 2003,goldenteefore2003,golden tee fore 2003,1,1,main,main,Golden Tee Fore! 2003,Golden Tee Fore! 2003,SAME,0,,,
Golden Tee Fore! 2004 (v4.00.00),Golden Tee Fore! 2004,goldenteefore2004,golden tee fore 2004,1,1,main,main,Golden Tee Fore! 2004,Golden Tee Fore! 2004,SAME,0,,,
Golden Tee Fore! 2004 Extra (v4.00.08),Golden Tee Fore! 2004 Extra,goldenteefore2004extra,golden tee fore 2004 extra,1,1,main,main,Golden Tee Fore! 2004 Extra,Golden Tee Fore! 2004 Extra,SAME,0,,,
Golden Tee Fore! 2005 Extra (v5.01.06),Golden Tee Fore! 2005 Extra,goldenteefore2005extra,golden tee fore 2005 extra,1,1,main,main,Golden Tee Fore! 2005 Extra,Golden Tee Fore! 2005 Extra,SAME,0,,,
Golden Tee Fore! 2006 Complete (v6.00.01),Golden Tee Fore! 2006 Complete,goldenteefore2006complete,golden tee fore 2006 complete,1,1,main,main,Golden Tee Fore! 2006 Complete,Golden Tee Fore! 2006 Complete,SAME,0,,,
"Golden Tee Golf (Joystick, v3.3)",Golden Tee Golf,goldenteegolf,golden tee golf,1,1,main,main,Golden Tee Golf,Golden Tee Golf,SAME,0,,,
"Golden Tee Golf II (Joystick, V1.0)",Golden Tee Golf II,goldenteegolf2,golden tee golf ii,1,1,main,main,Golden Tee Golf II,Golden Tee Golf II,SAME,0,,,
Golden Tee Royal Edition Tournament (v4.02T EDM),Golden Tee Royal Edition Tournament,goldenteeroyaleditiontournament,golden tee royal edition tournament,1,1,main,main,Golden Tee: Royal Edition Tournament,Golden Tee: Royal Edition Tournament,SAME,0,,,
Golden Tee Supreme Edition Tournament (v5.10T ELC S),Golden Tee Supreme Edition Tournament,goldenteesupremeeditiontournament,golden tee supreme edition tournament,1,1,main,main,Golden Tee: Supreme Edition Tournament,Golden Tee: Supreme Edition Tournament,SAME,0,,,
"Golfing Greats (World, version L)",Golfing Greats,golfinggreats,golfing greats,1,1,main,main,Golfing Greats,Golfing Greats,SAME,0,,,
Golly! Ghost!,Golly! Ghost!,gollyghost,golly ghost,1,1,main,main,Golly! Ghost!,Golly! Ghost!,SAME,0,,,
Gomoku Narabe Renju,Gomoku Narabe Renju,gomokunaraberenju,gomoku narabe renju,1,1,main,main,Gomoku Narabe Renju,Gomoku Narabe Renju,SAME,0,,,
Gondomania (World),Gondomania,gondomania,gondomania,1,1,main,main,Gondomania,Gondomania,SAME,0,,,
Goori Goori,Goori Goori,goorigoori,goori goori,1,1,main,main,Goori Goori,Goori Goori,SAME,0,,,
Gorf,Gorf,gorf,gorf,1,1,main,main,Gorf,Gorf,SAME,0,,,
Got-cha Mini Game Festival,Got-cha Mini Game Festival,gotchaminigamefestival,got cha mini game festival,1,1,main,main,Got-cha Mini Game Festival,Got-cha Mini Game Festival,SAME,0,,,
"GP Rider (World, FD1094 317-0163) (Twin setup)",GP Rider,gprider,gp rider,1,1,main,main,GP Rider,GP Rider,SAME,0,,,
Gradius (Bubble System),Gradius,gradius,gradius,1,1,main,main,Gradius,Gradius,SAME,0,,,
"Gradius (Japan, ROM version)",Gradius,gradius,gradius,1,1,main,main,Gradius,Gradius,SAME,0,,,
"Gradius II: GOFER no Yabou (Japan, new)",Gradius II: GOFER no Yabou,gradius2gofernoyabou,gradius ii gofer no yabou,0,0,,,,,SAME,0,,,
"Gradius III (World, version R)",Gradius III,gradius3,gradius iii,1,1,main,main,Gradius III,Gradius III,SAME,0,,,
Gradius IV: Fukkatsu (ver JAC),Gradius IV: Fukkatsu,gradius4fukkatsu,gradius iv fukkatsu,1,1,main,main,Gradius IV: Fukkatsu,Gradius IV: Fukkatsu,SAME,0,,,
Grand Champion (set 1),Grand Champion,grandchampion,grand champion,1,1,main,main,Grand Champion,Grand Champion,SAME,0,,,
Grand Cross (v1.02F),Grand Cross,grandcross,grand cross,1,1,main,main,Grand Cross,Grand Cross,SAME,0,,,
Grand Prix Star (ver 4.0),Grand Prix Star,grandprixstar,grand prix star,1,1,main,main,Grand Prix Star,Grand Prix Star,SAME,0,,,
Grand Slam (Mega Play),Grand Slam,grandslam,grand slam,1,1,main,main,Grand Slam,Grand Slam,SAME,0,,,
"Grand Striker (Europe, Oceania)",Grand Striker,grandstriker,grand striker,1,1,main,main,Grand Striker,Grand Striker,SAME,0,,,
Grand Striker 2 (Europe and Oceania),Grand Striker 2,grandstriker2,grand striker 2,1,1,main,main,Grand Striker 2,Grand Striker 2,SAME,0,,,
Grand Tour (V100U),Grand Tour,grandtour,grand tour,1,1,main,main,Grand Tour,Grand Tour,SAME,0,,,
Grasspin,Grasspin,grasspin,grasspin,1,1,main,main,Grasspin,Grasspin,SAME,0,,,
"Gratia - Second Earth (ver 1.0, 92047-01 version)",Gratia - Second Earth,gratiasecondearth,gratia second earth,0,0,,,,,SAME,0,,,
Gravitar (version 3),Gravitar,gravitar,gravitar,1,1,main,main,Gravitar,Gravitar,SAME,0,,,
Great 1000 Miles Rally 2 USA (950711),Great 1000 Miles Rally 2 USA,great1000milesrally2usa,great 1000 miles rally 2 usa,1,1,main,main,Great 1000 Miles Rally 2 USA,Great 1000 Miles Rally 2 USA,SAME,0,,,
Great 1000 Miles Rally U.S.A Version! (940906),Great 1000 Miles Rally U.S.A Version!,great1000milesrallyusaversion,great 1000 miles rally u s a version,1,1,main,main,Great 1000 Miles Rally: U.S.A Version!,Great 1000 Miles Rally: U.S.A Version!,SAME,0,,,
Great Bishi Bashi Champ (GBA48 VER. JAB),Great Bishi Bashi Champ,greatbishibashichamp,great bishi bashi champ,1,1,main,main,Great Bishi Bashi Champ,Great Bishi Bashi Champ,SAME,0,,,
