Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Custom Similarity Score,Jaro-Winkler Score,Partial Matched Name,Partial Match Type
Crash Garrett (1987)(ERE Informatique)(fr)(Side A),Crash Garrett,crashgarrett,Crash Garrett,1,1,main,main,Crash Garrett,Crash Garrett,SAME,0,,,,
Crash Garrett (1987)(ERE Informatique)(fr)(Side B),Crash Garrett,crashgarrett,Crash Garrett,1,1,main,main,Crash Garrett,Crash Garrett,SAME,0,,,,
Crawler (1986)(Amstrad Computer User)[cr],Crawler,crawler,Crawler,0,0,,,,,SAME,1,0.2857142857142857,0.7428571428571429,Chiller,main
Cray 5 (1987)(Topo Soft)(es),Cray 5,cray5,Cray 5,1,1,main,main,Cray 5,Cray 5,SAME,0,,,,
Crazy Ball (1992)(CPC Info - Golden Brothers),Crazy Ball,crazyball,Crazy Ball,0,0,,,,,SAME,1,0.33333333333333337,0.8666666666666666,Crazy Cars,main
Crazy Brick (1987)(Ingo Bordach)(de)[cr],Crazy Brick,crazybrick,Crazy Brick,0,0,,,,,SAME,1,0.2894736842105263,0.8669841269841271,Crazy Cars,main
Crazy Cars (1987)(Titus),Crazy Cars,crazycars,Crazy Cars,1,1,main,main,Crazy Cars,Crazy Cars,SAME,0,,,,
Crazy Cars 3 (UK) (1992) [Original],Crazy Cars 3,crazycars3,Crazy Cars 3,1,1,main,main,Crazy Cars 3,Crazy Cars 3,SAME,0,,,,
Crazy Cars II (1989)(Titus)[b],Crazy Cars II,crazycars2,Crazy Cars 2,1,1,main,main,Crazy Cars II,Crazy Cars II,SAME,0,,,,
Crazy Cars II (1989)(Titus)[cr][f],Crazy Cars II,crazycars2,Crazy Cars 2,1,1,main,main,Crazy Cars II,Crazy Cars II,SAME,0,,,,
Crazy Golf (1984)(Amsoft)[tape],Crazy Golf,crazygolf,Crazy Golf,1,1,main,main,Crazy Golf,Crazy Golf,SAME,0,,,,
Crazy Shoot (1989)(Loriciels)(fr)(West Phaser)(Side A),Crazy Shoot,crazyshoot,Crazy Shoot,0,0,,,,,SAME,1,0.4642105263157895,0.98,Crazy Shot,main
Crazy Shoot (1989)(Loriciels)(fr)(West Phaser)(Side B),Crazy Shoot,crazyshoot,Crazy Shoot,0,0,,,,,SAME,1,0.4642105263157895,0.98,Crazy Shot,main
Crazy Shoot (1989)(Loriciels)(West Phaser),Crazy Shoot,crazyshoot,Crazy Shoot,0,0,,,,,SAME,1,0.4642105263157895,0.98,Crazy Shot,main
Crazy Snake (1992)(Fraggle and Duck)(PD)[cr],Crazy Snake,crazysnake,Crazy Snake,0,0,,,,,SAME,1,0.3094736842105263,0.8669841269841271,Crazy Cars,main
Crazy Stamps (1986)(D. Mueller)(PD)(de)[cr],Crazy Stamps,crazystamps,Crazy Stamps,0,0,,,,,SAME,1,0.3190909090909091,0.882828282828283,Crazy Shot,main
Crazy Worm (1995)(Softice),Crazy Worm,crazyworm,Crazy Worm,0,0,,,,,SAME,1,0.33333333333333337,0.8666666666666666,Crazy Cars,main
Crazyfruit (1998)(Wendos PDS)[cr],Crazyfruit,crazyfruit,Crazyfruit,0,0,,,,,SAME,1,0.3094736842105263,0.8533333333333333,Crazy Shot,main
"Crepuscule du Naja, Le (1987)(Chip)(fr)","Crepuscule du Naja, Le",crepusculedunaja,Crepuscule du Naja Le,0,0,,,,,SAME,1,0.20249999999999999,0.6071428571428571,Chip's Challenge,main
Cricket Captain (1985)(Allanson Computing)[tape],Cricket Captain,cricketcaptain,Cricket Captain,0,0,,,,,SAME,1,0.6370588235294118,0.9333333333333333,Cricket Captain (Hi Tec),main
Cricket Master (1989)(E&J Software),Cricket Master,cricketmaster,Cricket Master,1,1,main,main,Cricket Master,Cricket Master,SAME,0,,,,
Cricket-Crazy (1988)(The Dreaming Djinn)[cr],Cricket-Crazy,cricketcrazy,Cricket Crazy,1,1,main,main,Cricket Crazy,Cricket Crazy,SAME,0,,,,
Crime Parfait (1987)(Logipresse)(fr)[cr],Crime Parfait,crimeparfait,Crime Parfait,0,0,,,,,SAME,1,0.33626373626373623,0.8785714285714286,Crimen Perfecto,main
"Crimen Perfecto, El (1987)(Logipresse)(es)[cr]","Crimen Perfecto, El",crimenperfecto,Crimen Perfecto El,1,0,main,,Crimen Perfecto,,WORSE,1,1.0,1.0,Crimen Perfecto,main
Critical Mass (1985)(Durell Software)[cr][f],Critical Mass,criticalmass,Critical Mass,1,1,main,main,Critical Mass,Critical Mass,SAME,0,,,,
Croc' Madam' (1986)(Bug-Byte)(fr),Croc' Madam',crocmadam,Croc Madam,0,0,,,,,SAME,1,0.2714285714285714,0.8333333333333334,Croco Magneto,main
Croco Magneto (1989)(Public Domain)(fr)[cr],Croco Magneto,crocomagneto,Croco Magneto,1,1,main,main,Croco Magneto,Croco Magneto,SAME,0,,,,
"Cross Bomber (2021)(Caruso, Fabrizio)(PD)[cr]",Cross Bomber,crossbomber,Cross Bomber,0,0,,,,,SAME,1,0.28909090909090907,0.8542568542568543,Crossfire,main
"Cross Chase (2018)(Caruso, Fabrizio)(PD)[cr]",Cross Chase,crosschase,Cross Chase,0,0,,,,,SAME,1,0.3094736842105263,0.8533333333333333,Crossfire,main
"Cross Horde (2021)(Caruso, Fabrizio)(PD)[cr]",Cross Horde,crosshorde,Cross Horde,0,0,,,,,SAME,1,0.36105263157894735,0.8955555555555555,Crossfire,main
"Cross Shoot (2020)(Caruso, Fabrizio)[cr]",Cross Shoot,crossshoot,Cross Shoot,0,0,,,,,SAME,1,0.3094736842105263,0.8044444444444444,Crazy Shot,main
"Cross Snake (2020)(Caruso, Fabrizio)(PD)[cr]",Cross Snake,crosssnake,Cross Snake,0,0,,,,,SAME,1,0.3094736842105263,0.8533333333333333,Crossfire,main
Crossfire (1990)(Atlantis Software)[cr],Crossfire,crossfire,Crossfire,1,1,main,main,Crossfire,Crossfire,SAME,0,,,,
Crucial Test (1988)(Coktel Vision)(fr)(Side A)(Q1),Crucial Test,crucialtest,Crucial Test,0,0,,,,,SAME,1,0.29927536231884055,0.6446608946608947,Crystal Theft,main
Crucial Test (1988)(Coktel Vision)(fr)(Side B)(Q2),Crucial Test,crucialtest,Crucial Test,0,0,,,,,SAME,1,0.29927536231884055,0.6446608946608947,Crystal Theft,main
"Crypte des Maudits, La (1991)(Lankhor)(fr)(Side A)","Crypte des Maudits, La",cryptedesmaudits,Crypte des Maudits La,1,0,main,,La Crypte des Maudits,,WORSE,1,1.0,1.0,La Crypte des Maudits,main
"Crypte des Maudits, La (1991)(Lankhor)(fr)(Side B)","Crypte des Maudits, La",cryptedesmaudits,Crypte des Maudits La,1,0,main,,La Crypte des Maudits,,WORSE,1,1.0,1.0,La Crypte des Maudits,main
Crystal Castles (1986)(US Gold),Crystal Castles,crystalcastles,Crystal Castles,0,0,,,,,SAME,1,0.32197802197802194,0.8785714285714286,Crystal Theft,main
Crystal Mission (1991)(Andreas Stroizcek)(PD)(M2)[cr],Crystal Mission,crystalmission,Crystal Mission,0,0,,,,,SAME,1,0.2777777777777778,0.6872710622710624,Contamination,main
Crystal Theft (1984)(Wicca Soft)[tape],Crystal Theft,crystaltheft,Crystal Theft,1,1,main,main,Crystal Theft,Crystal Theft,SAME,0,,,,
Crystann (1987)(Softbook)(fr)[cr],Crystann,crystann,Crystann,0,0,,,,,SAME,1,0.28,0.85,Crystal Theft,main
"Cuatro en Raya, Las (1988)(Softbasco)(es)[cr]","Cuatro en Raya, Las",cuatroenraya,Cuatro en Raya Las,0,0,,,,,SAME,1,0.25,0.6833333333333332,La Corona,main
Cub Bert (1985)(Microbyte),Cub Bert,cubbert,Cub Bert,0,0,,,,,SAME,1,0.3142857142857143,0.8533333333333333,Cubit,main
Cubemeleon (1986)(CPC)(fr)(v3)[cr],Cubemeleon,cubemeleon,Cubemeleon,0,0,,,,,SAME,1,0.23,0.6888888888888888,Cheman,main
Cubewars (1988)(Computing With The Amstrad)[cr],Cubewars,cubewars,Cubewars,0,0,,,,,SAME,1,0.2625,0.6833333333333332,Cerberus,main
Cubit (1984)(Amsoft)(de)[tape],Cubit,cubit,Cubit,1,1,main,main,Cubit,Cubit,SAME,0,,,,
Cubit (1984)(Amsoft)[tape],Cubit,cubit,Cubit,1,1,main,main,Cubit,Cubit,SAME,0,,,,
Curro Jimenez (1989)(Zigurat)(es),Curro Jimenez,currojimenez,Curro Jimenez,1,1,main,main,Curro Jimenez,Curro Jimenez,SAME,0,,,,
"Curse of Sherwood, The (1987)(Mastertronic)[cr]","Curse of Sherwood, The",curseofsherwood,Curse of Sherwood The,1,0,main,,The Curse of Sherwood,,WORSE,1,1.0,1.0,The Curse of Sherwood,main
Cursed be the City (1987)(The Adventure Workshop)[cr],Cursed be the City,cursedbethecity,Cursed be the City,0,0,,,,,SAME,1,0.23555555555555555,0.6357142857142857,Crystal Theft,main
Custard Pie Factory (1985)(Tynesoft),Custard Pie Factory,custardpiefactory,Custard Pie Factory,1,1,main,main,Custard Pie Factory,Custard Pie Factory,SAME,0,,,,
Cutthroats (1984)(Infocom)[CPM],Cutthroats,cutthroats,Cutthroats,1,1,main,main,Cutthroats,Cutthroats,SAME,0,,,,
Cyber Power (1992)(CPC Infos)(fr)[cr],Cyber Power,cyberpower,Cyber Power,0,0,,,,,SAME,1,0.31999999999999995,0.87,Cyberboy,main
Cyberball (1990)(Domark),Cyberball,cyberball,Cyberball,1,1,main,main,Cyberball,Cyberball,SAME,0,,,,
Cyberbig (1989)(MCM Software),Cyberbig,cyberbig,Cyberbig,1,1,main,main,Cyberbig,Cyberbig,SAME,0,,,,
Cyberboy (1995)(Amstrad Action)[cr],Cyberboy,cyberboy,Cyberboy,1,1,main,main,Cyberboy,Cyberboy,SAME,0,,,,
Cybernoid (1988)(Hewson),Cybernoid,cybernoid,Cybernoid,0,0,,,,,SAME,1,0.34509803921568627,0.8833333333333333,Cyberbig,main
Cybernoid II (1988)(Hewson),Cybernoid II,cybernoid2,Cybernoid 2,0,0,,,,,SAME,1,0.31999999999999995,0.87,Cyberbig,main
Cyber-Tennis (1997)(Wendos PDS)[cr],Cyber-Tennis,cybertennis,Cyber Tennis,0,0,,,,,SAME,1,0.29856459330143537,0.8590909090909091,Cyberbig,main
Cybor (1987)(Softhawk)(fr),Cybor,cybor,Cybor,1,1,main,main,Cybor,Cybor,SAME,0,,,,
Cycit (1986)(Bug-Byte Software)(v2)[cr],Cycit,cycit,Cycit,1,1,main,main,Cycit,Cycit,SAME,0,,,,
"Cycles, The (1989)(Accolade)","Cycles, The",cycles,Cycles The,0,0,,,,,SAME,1,0.28,0.8,Cylu,main
Cylu (1985)(Firebird)[cr],Cylu,cylu,Cylu,1,1,main,main,Cylu,Cylu,SAME,0,,,,
Cyrus II (1985)(Amsoft)(fr),Cyrus II,cyrus2,Cyrus 2,0,0,,,,,SAME,1,0.28,0.8,Cylu,main
Cyrus II (1985)(Amsoft),Cyrus II,cyrus2,Cyrus 2,0,0,,,,,SAME,1,0.28,0.8,Cylu,main
Cyrus II Schach (1985)(Amsoft)(de),Cyrus II Schach,cyrus2schach,Cyrus 2 Schach,0,0,,,,,SAME,1,0.3,0.8873737373737374,Cyrus II Chess: 3D Chess,main
D Day (1992)(Loriciels)(fr)[cr],D Day,dday,D Day,1,1,main,main,D-Day,D-Day,SAME,0,,,,
D.C.A. (1991)(CPC Infos)[cr],D.C.A.,dca,D C A,1,1,main,main,D.C.A.,D.C.A.,SAME,0,,,,
Dakar 4x4 (1987)(Coktel Vision)(fr)[cr],Dakar 4x4,dakar4x4,Dakar 4x4,1,1,main,main,Dakar 4x4,Dakar 4x4,SAME,0,,,,
Dakar Moto (1987)(Coktel Vision)(fr),Dakar Moto,dakarmoto,Dakar Moto,1,1,main,main,Dakar Moto,Dakar Moto,SAME,0,,,,
Daleks (1989)(Amstrad Action)[tape],Daleks,daleks,Daleks,0,0,,,,,SAME,1,0.27032967032967037,0.8042857142857143,Dedalos,main
Daley Thompson's Decathlon (1985)(Ocean)[tape],Daley Thompson's Decathlon,daleythompsonsdecathlon,Daley Thompson s Decathlon,1,1,main,main,Daley Thompson's Decathlon,Daley Thompson's Decathlon,SAME,0,,,,
Daley Thompson's Olympic Challenge (1988)(Ocean),Daley Thompson's Olympic Challenge,daleythompsonsolympicchallenge,Daley Thompson s Olympic Challenge,1,1,main,main,Daley Thompson's Olympic Challenge,Daley Thompson's Olympic Challenge,SAME,0,,,,
Daley Thompson's Supertest (1985)(Ocean),Daley Thompson's Supertest,daleythompsonssupertest,Daley Thompson s Supertest,1,0,main,,Daley Thompson's Super-Test,,WORSE,1,1.0,1.0,Daley Thompson's Super-Test,main
"Dam Busters, The (1986)(US Gold)","Dam Busters, The",dambusters,Dam Busters The,1,0,main,,The Dam Busters,,WORSE,1,1.0,1.0,The Dam Busters,main
Dame Scanner (1988)(Chip)(fr),Dame Scanner,damescanner,Dame Scanner,1,1,main,main,Dame Scanner,Dame Scanner,SAME,0,,,,
Dames 3D Champion (1987)(Cobra Soft)(fr),Dames 3D Champion,dames3dchampion,Dames 3D Champion,0,0,,,,,SAME,1,0.27794871794871795,0.8521212121212122,Dame Scanner,main
Dan Dare - Pilot of the Future (1986)(Virgin Games),Dan Dare - Pilot of the Future,dandarepilotofthefuture,Dan Dare Pilot of the Future,1,1,main,main,Dan Dare: Pilot of the Future,Dan Dare: Pilot of the Future,SAME,0,,,,
Dan Dare II - Mekon's Revenge (1988)(Virgin Games)[b],Dan Dare II - Mekon's Revenge,dandare2mekonsrevenge,Dan Dare 2 Mekon s Revenge,1,1,main,main,Dan Dare II: Mekon's Revenge,Dan Dare II: Mekon's Revenge,SAME,0,,,,
Dan Dare II - Mekon's Revenge (1988)(Virgin Games)[cr][f],Dan Dare II - Mekon's Revenge,dandare2mekonsrevenge,Dan Dare 2 Mekon s Revenge,1,1,main,main,Dan Dare II: Mekon's Revenge,Dan Dare II: Mekon's Revenge,SAME,0,,,,
Dan Dare III - The Escape (1990)(Virgin Games),Dan Dare III - The Escape,dandare3theescape,Dan Dare 3 The Escape,1,1,main,main,Dan Dare III: The Escape,Dan Dare III: The Escape,SAME,0,,,,
Dan Silver (1989)(MBC Informatique)(fr)(Side A)[cr],Dan Silver,dansilver,Dan Silver,0,0,,,,,SAME,1,0.3111111111111111,0.8222222222222222,Dawnssley,main
Dan Silver (1989)(MBC Informatique)(fr)(Side B)[cr],Dan Silver,dansilver,Dan Silver,0,0,,,,,SAME,1,0.3111111111111111,0.8222222222222222,Dawnssley,main
Dandy (1987)(Activision),Dandy,dandy,Dandy,1,1,main,main,Dandy,Dandy,SAME,0,,,,
Danger Adventurer at Work (1991)(WoW Software)[tape],Danger Adventurer at Work,dangeradventureratwork,Danger Adventurer at Work,1,1,main,main,Danger: Adventurer at Work,Danger: Adventurer at Work,SAME,0,,,,
Danger Adventurer at Work Two (1991)(WoW Software)[tape],Danger Adventurer at Work Two,dangeradventureratworktwo,Danger Adventurer at Work Two,1,1,main,main,Danger: Adventurer at Work Two,Danger: Adventurer at Work Two,SAME,0,,,,
Danger Mouse in Double Trouble (1985)(Creative Sparks)[tape],Danger Mouse in Double Trouble,dangermouseindoubletrouble,Danger Mouse in Double Trouble,1,1,main,main,Danger Mouse in Double Trouble,Danger Mouse in Double Trouble,SAME,0,,,,
Danger Mouse in Making Whoopee! (1985)(Creative Sparks)[tape],Danger Mouse in Making Whoopee!,dangermouseinmakingwhoopee,Danger Mouse in Making Whoopee,1,1,main,main,Danger Mouse in Making Whoopee,Danger Mouse in Making Whoopee,SAME,0,,,,
Danger Street (1987)(Chip)(fr),Danger Street,dangerstreet,Danger Street,1,1,main,main,Danger Street,Danger Street,SAME,0,,,,
Dark Century (1990)(Titus),Dark Century,darkcentury,Dark Century,1,1,main,main,Dark Century,Dark Century,SAME,0,,,,
Dark Fusion (1988)(Gremlin Graphics Software),Dark Fusion,darkfusion,Dark Fusion,1,1,main,main,Dark Fusion,Dark Fusion,SAME,0,,,,
"Dark Knight Shadow Of Madness, The (2024)(Mananuk)[cr]","Dark Knight Shadow Of Madness, The",darkknightshadowofmadness,Dark Knight Shadow Of Madness The,1,0,main,,Dark Knight: Shadow of Madness,,WORSE,1,1.0,1.0,Dark Knight: Shadow of Madness,main
Dark Power (1989)(Micro Mag)[cr],Dark Power,darkpower,Dark Power,1,1,main,main,Dark Power,Dark Power,SAME,0,,,,
Dark Sceptre (1987)(Firebird Software)[f],Dark Sceptre,darksceptre,Dark Sceptre,1,1,main,main,Dark Sceptre,Dark Sceptre,SAME,0,,,,
Dark Side (1988)(Incentive Software),Dark Side,darkside,Dark Side,1,1,main,main,Dark Side,Dark Side,SAME,0,,,,
Dark Star (1985)(Design Design)[tape],Dark Star,darkstar,Dark Star,1,1,main,main,Dark Star,Dark Star,SAME,0,,,,
Dark Star 3 - Forbidden Planet (UK) (1985) (Trainer),Dark Star 3 - Forbidden Planet,darkstar3forbiddenplanet,Dark Star 3 Forbidden Planet,0,0,,,,,SAME,1,0.21666666666666667,0.8666666666666666,Dark Side,main
Darkman (1991)(Ocean)(Side A),Darkman,darkman,Darkman,1,1,main,main,Darkman,Darkman,SAME,0,,,,
Darkman (1991)(Ocean)(Side B),Darkman,darkman,Darkman,1,1,main,main,Darkman,Darkman,SAME,0,,,,
Darkwurlde (1986)(Top Ten)[tape],Darkwurlde,darkwurlde,Darkwurlde,1,1,main,main,Darkwurlde,Darkwurlde,SAME,0,,,,
Darts (1986)(Alligata Software)[cr],Darts,darts,Darts,1,1,main,main,Darts,Darts,SAME,0,,,,
Dash (1986)(Happy Computer)[cr],Dash,dash,Dash,0,0,,,,,SAME,1,0.28,0.6333333333333333,Darts,main
"Dawn Of Kernel, The (2018)(usebox.net)(1.0.1)","Dawn Of Kernel, The",dawnofkernel,Dawn Of Kernel The,1,0,main,,The Dawn of Kernel,,WORSE,1,1.0,1.0,The Dawn of Kernel,main
Dawnssley (1987)(Top Ten)[tape],Dawnssley,dawnssley,Dawnssley,1,1,main,main,Dawnssley,Dawnssley,SAME,0,,,,
Deactivators (1986)(Ariolasoft),Deactivators,deactivators,Deactivators,1,1,main,main,Deactivators,Deactivators,SAME,0,,,,
Dead By Dawn (2014)(ESP Soft)(es),Dead By Dawn,deadbydawn,Dead By Dawn,0,0,,,,,SAME,1,0.25,0.6777777777777777,Deadenders,main
Dead or Alive (1987)(Alternative Software)[tape],Dead or Alive,deadoralive,Dead or Alive,1,1,main,main,Dead or Alive,Dead or Alive,SAME,0,,,,
Deadline (1982)(Infocom)[CPM],Deadline,deadline,Deadline,1,1,main,main,Deadline,Deadline,SAME,0,,,,
Deadly Evil (1990)(Players Premier Software)(v2)[cr],Deadly Evil,deadlyevil,Deadly Evil,1,1,main,main,Deadly Evil,Deadly Evil,SAME,0,,,,
Death or Glory (1987)(CRL Group),Death or Glory,deathorglory,Death or Glory,1,1,main,main,Death or Glory,Death or Glory,SAME,0,,,,
Death Pit (1984)(Durell Software)[cr],Death Pit,deathpit,Death Pit,1,1,main,main,Death Pit,Death Pit,SAME,0,,,,
Death_Stalker__(2020-03-xx)__ENGLISH__NICH,Death_Stalker____ENGLISH__NICH,deathstalkerenglishnich,Death_Stalker____ENGLISH__NICH,0,0,,,,,SAME,1,0.3100621118012422,0.9043478260869565,Death Stalker,main
Death Wish 3 (1987)(Gremlin Graphics Software),Death Wish 3,deathwish3,Death Wish 3,1,1,main,main,Death Wish 3,Death Wish 3,SAME,0,,,,
Death's Ticket (1990)(Micro Mag)[cr],Death's Ticket,deathsticket,Death s Ticket,0,0,,,,,SAME,1,0.375,0.9,Death Stalker,main
Deathsville (1986)(Bubblebus Software),Deathsville,deathsville,Deathsville,1,1,main,main,Deathsville,Deathsville,SAME,0,,,,
Deep Deeper Deepest (2022)(cpcretrodev.byterealms)[cr],Deep Deeper Deepest,deepdeeperdeepest,Deep Deeper Deepest,1,1,main,main,Deep Deeper Deepest,Deep Deeper Deepest,SAME,0,,,,
Deep Strike (1986)(Durell Software)[cr],Deep Strike,deepstrike,Deep Strike,1,1,main,main,Deep Strike,Deep Strike,SAME,0,,,,
"Deep, The (1989)(US Gold)","Deep, The",deep,Deep The,1,0,main,,The Deep,,WORSE,1,1.0,1.0,The Deep,main
Deeper Warrens (2018)(cpcretrodev.byterealms)(Version C)[cr],Deeper Warrens,deeperwarrens,Deeper Warrens,1,1,main,main,Deeper Warrens,Deeper Warrens,SAME,0,,,,
Defcom (1986)(Quicksilva)[cr],Defcom,defcom,Defcom,1,1,main,main,Defcom,Defcom,SAME,0,,,,
Defcom 1 (1989)(Iber Soft)(es),Defcom 1,defcom,Defcom,1,1,main,main,Defcom,Defcom,SAME,0,,,,
Defend or Die (1985)(Alligata Software)[tape],Defend or Die,defendordie,Defend or Die,1,1,main,main,Defend or Die,Defend or Die,SAME,0,,,,
Defender (1987)(Amstrad Video-Play)(es)[cr],Defender,defender,Defender,0,0,,,,,SAME,1,0.3733333333333333,0.8485714285714285,Deadenders,main
Defender of the Crown (1987)(Cinemaware)(fr)(Disc 0),Defender of the Crown,defenderofthecrown,Defender of the Crown,1,1,main,main,Defender of the Crown,Defender of the Crown,SAME,0,,,,
Defender of the Crown (1987)(Cinemaware)(fr)(Disc 1 Side A),Defender of the Crown,defenderofthecrown,Defender of the Crown,1,1,main,main,Defender of the Crown,Defender of the Crown,SAME,0,,,,
Defender of the Crown (1987)(Cinemaware)(fr)(Disc 1 Side B),Defender of the Crown,defenderofthecrown,Defender of the Crown,1,1,main,main,Defender of the Crown,Defender of the Crown,SAME,0,,,,
Defender of the Crown (1987)(Cinemaware)(fr)(Side A),Defender of the Crown,defenderofthecrown,Defender of the Crown,1,1,main,main,Defender of the Crown,Defender of the Crown,SAME,0,,,,
Defender of the Crown (1987)(Cinemaware)(fr)(Side B),Defender of the Crown,defenderofthecrown,Defender of the Crown,1,1,main,main,Defender of the Crown,Defender of the Crown,SAME,0,,,,
Defenders of the Earth (1990)(Enigma Variations)(en-fr),Defenders of the Earth,defendersoftheearth,Defenders of the Earth,1,1,main,main,Defenders of the Earth,Defenders of the Earth,SAME,0,,,,
Defi au Tarot (1986)(Run Informatique)(fr),Defi au Tarot,defiautarot,Defi au Tarot,1,1,main,main,Defi au Tarot,Defi au Tarot,SAME,0,,,,
Deflektor (1987)(Gremlin Graphics Software),Deflektor,deflektor,Deflektor,1,1,main,main,Deflektor,Deflektor,SAME,0,,,,
Demineur (1993)(GPA)[cr],Demineur,demineur,Demineur,0,0,,,,,SAME,1,0.28758169934640526,0.7541666666666665,Dominator,main
Demon Attack (1986)(Rakoko)[cr],Demon Attack,demonattack,Demon Attack,0,0,,,,,SAME,1,0.27090909090909093,0.7898989898989899,Deathkick,main
Demon's Revenge (1988)(Firebird Software),Demon's Revenge,demonsrevenge,Demon s Revenge,1,0,main,,Demons Revenge,,WORSE,1,1.0,1.0,Demons Revenge,main
"Dents de sa Mere, La (1986)(Transoft)(fr)[tape]","Dents de sa Mere, La",dentsdesamere,Dents de sa Mere La,0,0,,,,,SAME,1,0.24882943143812708,0.7774358974358975,Deadenders,main
"Dernier Metro, Le (1985)(Micro Programmes 5)(fr)[tape]","Dernier Metro, Le",derniermetro,Dernier Metro Le,1,0,main,,Dernier Metro,,WORSE,1,1.0,1.0,Dernier Metro,main
"Derniere Mission, La (1988)(MBC Informatique)(fr)(Side A)","Derniere Mission, La",dernieremission,Derniere Mission La,1,0,main,,La Dernière Mission,,WORSE,1,1.0,1.0,La Dernière Mission,main
"Derniere Mission, La (1988)(MBC Informatique)(fr)(Side B)","Derniere Mission, La",dernieremission,Derniere Mission La,1,0,main,,La Dernière Mission,,WORSE,1,1.0,1.0,La Dernière Mission,main
Dervish (1989)(The Power House)[tape],Dervish,dervish,Dervish,1,1,main,main,Dervish,Dervish,SAME,0,,,,
Desert Fox (1986)(US Gold),Desert Fox,desertfox,Desert Fox,1,1,main,main,Desert Fox,Desert Fox,SAME,0,,,,
Desolator (1986)(US Gold),Desolator,desolator,Desolator,1,1,main,main,Desolator,Desolator,SAME,0,,,,
Desperado (1987)(Topo Soft)(Side A)[cr][f],Desperado,desperado,Desperado,0,0,,,,,SAME,1,0.4642105263157895,0.98,Desperado 2,main
Desperado (1987)(Topo Soft)(Side B)[cr],Desperado,desperado,Desperado,0,0,,,,,SAME,1,0.4642105263157895,0.98,Desperado 2,main
Desperado 2 (1989)(Topo Soft)(es),Desperado 2,desperado2,Desperado 2,1,1,main,main,Desperado 2,Desperado 2,SAME,0,,,,
Despotik Design (1987)(ERE Informatique)(M3),Despotik Design,despotikdesign,Despotik Design,1,1,main,main,Despotik Design,Despotik Design,SAME,0,,,,
Detective (1984)(Amsoft)[tape],Detective,detective,Detective,1,1,main,main,Detective,Detective,SAME,0,,,,
Detective (1990)(News by Disc)(fr)[cr],Detective,detective,Detective,1,1,main,main,Detective,Detective,SAME,0,,,,
Devil Highway (1987)(Infomedia)[cr],Devil Highway,devilhighway,Devil Highway,0,0,,,,,SAME,1,0.25652173913043474,0.6818181818181818,The Devil's Crown,main
Devilry 2 (1989)(Eric Cubizolle - Emmanuel Rigot)(fr)(Side A),Devilry 2,devilry2,Devilry 2,0,0,,,,,SAME,1,0.29856459330143537,0.8590909090909091,The Devil's Crown,main
Devilry 2 (1989)(Eric Cubizolle - Emmanuel Rigot)(fr)(Side B),Devilry 2,devilry2,Devilry 2,0,0,,,,,SAME,1,0.29856459330143537,0.8590909090909091,The Devil's Crown,main
Devil's Castle (1986)(Chip)(fr),Devil's Castle,devilscastle,Devil s Castle,0,0,,,,,SAME,1,0.4108695652173913,0.946969696969697,Devil Castel,main
"Devil's Crown, The (1985)(Probe Software)","Devil's Crown, The",devilscrown,Devil s Crown The,1,0,main,,The Devil's Crown,,WORSE,1,1.0,1.0,The Devil's Crown,main
"Diamant de l'Ile Maudite, Le (1985)(Loriciels)(fr)(Side A)","Diamant de l'Ile Maudite, Le",diamantdelilemaudite,Diamant de l Ile Maudite Le,0,0,,,,,SAME,1,0.48230769230769227,0.958421052631579,Le Diamant de l'Île Maudite,main
"Diamant de l'Ile Maudite, Le (1985)(Loriciels)(fr)(Side B)","Diamant de l'Ile Maudite, Le",diamantdelilemaudite,Diamant de l Ile Maudite Le,0,0,,,,,SAME,1,0.48230769230769227,0.958421052631579,Le Diamant de l'Île Maudite,main
"Diamant vom Rabenfels, Der (1985)(P. Mengel)(de)[cr Saturn-Soft]","Diamant vom Rabenfels, Der",diamantvomrabenfels,Diamant vom Rabenfels Der,0,0,,,,,SAME,1,0.23421052631578948,0.6849602639076323,A Day at the Races,main
Diamond Mine (1986)(CDS Software LTD)[tape],Diamond Mine,diamondmine,Diamond Mine,0,0,,,,,SAME,1,0.4702898550724638,0.9833333333333333,Diamond Mine II,main
Diamond Trap (1987)(Computing With The Amstrad)[cr],Diamond Trap,diamondtrap,Diamond Trap,0,0,,,,,SAME,1,0.29927536231884055,0.843939393939394,Diamond Mine II,main
Dianne (1985)(Loriciels)(fr)[tape],Dianne,dianne,Dianne,1,1,main,main,Dianne,Dianne,SAME,0,,,,
Dick Tracy (1990)(Titus),Dick Tracy,dicktracy,Dick Tracy,1,1,main,main,Dick Tracy,Dick Tracy,SAME,0,,,,
Die Alien Slime (1989)(Mastertronic Plus)[cr GPA],Die Alien Slime,alienslime,Die Alien Slime,1,1,main,main,Die Alien Slime,Die Alien Slime,SAME,0,,,,
Dieux de la Mer - Championship Water Skiing (1987)(Infogrames)(fr),Dieux de la Mer - Championship Water Skiing,dieuxdelamerchampionshipwaterskiing,Dieux de la Mer Championship Water Skiing,0,0,,,,,SAME,1,0.19842364532019705,0.6239678480087688,Daley Thompson's Super-Test,main
