Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Custom Similarity Score,Jaro-Winkler Score,Partial Matched Name,Partial Match Type
Impossible Mission II (1988)(Epyx),Impossible Mission II,impossiblemission2,Impossible Mission 2,1,1,main,main,Impossible Mission II,Impossible Mission II,SAME,0,,,,
Incantation (1987)(Softhawk)(fr)(Side A),Incantation,incantation,Incantation,1,1,main,main,Incantation,Incantation,SAME,0,,,,
Incantation (1987)(Softhawk)(fr)(Side B),Incantation,incantation,Incantation,1,1,main,main,Incantation,Incantation,SAME,0,,,,
Indiana Jones and the Fate of Atlantis (1993)(US Gold)(Side A),Indiana Jones and the Fate of Atlantis,indianajonesandthefateofatlantis,Indiana Jones and the Fate of Atlantis,0,0,,,,,SAME,1,0.3915728715728716,0.9422222222222223,Indiana Jones and The Fate of Atlantis: The Action Game,main
Indiana Jones and the Fate of Atlantis (1993)(US Gold)(Side B),Indiana Jones and the Fate of Atlantis,indianajonesandthefateofatlantis,Indiana Jones and the Fate of Atlantis,0,0,,,,,SAME,1,0.3915728715728716,0.9422222222222223,Indiana Jones and The Fate of Atlantis: The Action Game,main
Indiana Jones and the Last Crusade (1989)(US Gold)(v3)[codes],Indiana Jones and the Last Crusade,indianajonesandthelastcrusade,Indiana Jones and the Last Crusade,0,0,,,,,SAME,1,0.3831656606304494,0.9380952380952381,Indiana Jones and the Last Crusade: The Action Game,main
Indiana Jones and the Temple of Doom (1987)(US Gold),Indiana Jones and the Temple of Doom,indianajonesandthetempleofdoom,Indiana Jones and the Temple of Doom,1,1,main,main,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom,SAME,0,,,,
Indoor Bowling (1987)(Alligata Software)[cr],Indoor Bowling,indoorbowling,Indoor Bowling,0,0,,,,,SAME,1,0.2843076923076923,0.8216524216524216,Into Oblivion,main
Indoor Soccer (1989)(Codemasters Software)[cr],Indoor Soccer,indoorsoccer,Indoor Soccer,0,0,,,,,SAME,1,0.5499999999999999,0.896,Indoor Soccer (Codemasters),main
Indoor Soccer (1986)(Magnificent 7)[cr],Indoor Soccer,indoorsoccer,Indoor Soccer,0,0,,,,,SAME,1,0.5499999999999999,0.896,Indoor Soccer (Codemasters),main
Indoor Sports (1987)(Design Star Consultants),Indoor Sports,indoorsports,Indoor Sports,1,1,main,main,Indoor Sports,Indoor Sports,SAME,0,,,,
Inertie (1987)(Ubi Soft)(fr)(Side A),Inertie,inertie,Inertie,1,1,main,main,Inertie,Inertie,SAME,0,,,,
Inertie (1987)(Ubi Soft)(fr)(Side B),Inertie,inertie,Inertie,1,1,main,main,Inertie,Inertie,SAME,0,,,,
