lindbergh|.game
Hartung Game Master|.bin;.zip;.7z
hbmame|.zip;.7z
hikaru|.zip;.7z
intellivision|.int;.rom;.bin;.zip;.7z
internet|.txt
j2me|.jar;.7z;.zip
jaguarcd|.j64;.jag;.rom;.abs;.cof;.bin;.prg;.zip;.7z
jaguar|.j64;.jag;.rom;.abs;.cof;.bin;.prg;.zip;.7z
jupace|.zip;.7z;.tap;.wav;.ace
Jupiter Ace|.bin;.zip;.7z
laser310|.vz;.wav;.cas;.zip;.7z
laserdisc|.daphne;.dirksimple;.ogv;.singe;.7z;.zip
lcdgames|.mgw;.zip;.7z
lightgun|.zip;.7z
linux|.pc;.plus
love|.zip;.7z;.lua;.love;.lutro;.exe
lowresnx|.nx;.zip;.7z
lutro|.lua;.lutro;.zip;.love;.7z
lynx|.lnx;.zip;.7z;.o
macintosh|.dsk;.zip;.7z;.mfi;.dfi;.hfe;.mfm;.td0;.imd;.d77;.d88;.1dd;.cqm;.cqi;.dsk;.ima;.img;.ufi;.ipf;.dc42;.woz;.2mg;.360;.chd;.cue;.toc;.nrg;.gdi;.iso;.cdr;.hd;.hdv;.2mg;.hdi
Magnavox Odyssey 2|.bin;.zip;.7z
mame-advmame|.zip
mame-libretro|.zip
mame-mame4all|.zip
mame|.zip;.7z
mastersystem|.sms;.zip;.7z;.bin
Mattel Intellivision|.int;.rom;.bin;.zip;.7z
Mega Duck|.bin;.zip;.7z
megacdjp|.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
megacd|.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
megadrive-msu|.32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip;
megadrivejp|.32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
megadrive|.32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip;
megaduck|.bin;.zip;.7z
mess|.chd;.7z;.zip
MGT SAM Coupé|.dsk;.sad;.mgt;.sdf;.td0;.sbt;.cpm;.zip;.m3u
Microsoft MSX2+|.dsk;.mx2;.rom;.zip;.7z;.cas;.m3u
Microsoft MSX2|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
Microsoft MSX|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
Microsoft Xbox 360|.iso;.xex;.x360
Microsoft Xbox|.iso;.xbe;.squashfs
model1|.zip;.plus
model2|.zip;.plus
model3|.zip;.plus
moonlight|.moonlight
moto|.fd;.k7;.m5;.m7;.rom;.sap;.7z;.zip
mrboom|.libretro
MS-DOS|.pc;.dos;.dosz
msu-md|.md;.zip;.7z
msx1|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
msx2+|.dsk;.mx2;.rom;.zip;.7z;.cas;.m3u
msx2|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
msxturbor|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
msx|.rom;.mx1;.mx2;.dsk;.cas;.m3u;.zip;.7z
mugen|.plus;.pc;.cmd;.bat;.squashfs;.7z;.win;.lnk
multivision|.mv;.bin;.zip;.7z
n-gage|.zip
n3ds|.squashfs
n64dd|.z64;.v64;.n64;.wad;.zip;.7z;.ndd
n64|.n64;.v64;.z64;.bin;.u1;.ndd;.zip;.7z
n64jp|.n64;.v64;.z64;.bin;.u1;.ndd;.zip;.7z
Namco System 22|.zip;.7z
namco23|.zip;.7z
naomi2|.zip;.lst;.bin;.dat;.7z
naomigd|.lst;.dat;.7z;.zip;.bin
naomi|.lst;.dat;.7z;.zip;.bin
nds|.nds;.zip;.7z
NEC PC Engine-CD|.cue;.ccd;.chd;.pce;.iso;.cso;.img;.zip;.7z
NEC PC-FX|.cue;.ccd;.toc;.chd
NEC TurboGrafx-16|.pce;.cue;.ccd;.sgx;.zip;.7z
neogeo64|.zip;.7z
neogeocdjp|.chd;.cue;.iso;.m3u
neogeocd|.cue;.iso;.chd;.m3u;.cso
neogeomini|.zip;.fba;.7z
neogeox|.zip;.7z;.iso;.bin;.chd;.cue
neogeo|.zip;.7z
nesmini|.nes;.zip;.fds;7z;.unif;.unf
nes|.nes;.zip;.7z
ngage|.zip
ngc|.ngp;.ngc;.ngpc;.npc;.zip;.7z
ngpc|.ngp;.ngc;.ngpc;.npc;.zip;.7z
ngp|.ngp;.ngc;.ngpc;.npc;.zip;.7z
Nintendo 3DS|.squashfs
Nintendo 64DD|.ndd;.v64;.z65;.n64;.wad;.zip;.7Z
Nintendo 64|.n64;.v64;.z64;.bin;.u1;.ndd;.zip;.7z
Nintendo DS|.nds;.zip;.7z
Nintendo Entertainment System|.nes;.zip;.7z
Nintendo Famicom Disk System|.fds;.zip;.7z
Nintendo Game Boy Advance|.zip;.gba;.7z
Nintendo Game Boy Color|.gb;.gbc;.zip;.7z
Nintendo Game Boy|.zip;.gb;.7z
Nintendo GameCube|.elf;.dol;.gcm;.iso;.wbfs;.ciso;.cso;.gcz;.wad;.rvz;.m3u;.gc
Nintendo Satellaview|.bs;.smc;.sfc;.zip;.7z;.st;.fig
Nintendo Switch|.nso;.nro;.nca;.xci;.nsp;.kip
Nintendo Virtual Boy|.vb;.vboy;.bin;.zip;.7z
Nintendo Wii U|.wud;.wux;.iso;.wad;.rpx;.elf;.wup;.squashfs;.m3u;.wua
Nintendo Wii|.iso;.wbfs;.wad;.rvz;.gcz;.ciso;.cso
Nokia N-Gage|.zip
np2pi|.d98;.d98d;.fdi;.fdd;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.hdi;.thd;.nhd;.hdd;.hdn;.zip;.7z
o2em|.bin;.zip;.7z
odyssey2|.bin;.zip;.7z
openbor|.pak;.exe
Oric Atmos|.dsk;.tap;.m3u
oricatmos|.dsk;.tap;.m3u
oric|.dsk;.tap;.m3u
palm|.prc;.pdb;.pqa;.img
PC Engine SuperGrafx|.pce;.sgx;.zip;.ccd;.cue;.7z;.chd;.fba
pc88|.d98;.98d;.fdi;.fdd;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.hdi;.thd;.nhd;.hdd;.hdn;.m3u;.zip;.7z
pc98|.d98;.98d;.fdi;.fdd;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.hdi;.thd;.nhd;.hdd;.hdn;.m3u;.zip;.7z
pcarcade|.bat;.lnk
pce-cd|.cue;.ccd;.chd;.pce;.iso;.cso;.img;.zip;.7z
pcenginecd|.cue;.ccd;.chd;.pce;.iso;.cso;.img;.zip;.7z
tgcd|.cue;.ccd;.chd;.pce;.iso;.cso;.img;.zip;.7z
pcengine|.pce;.cue;.ccd;.sgx;.zip;.7z
pce|.pce;.cue;.ccd;.sgx;.zip;.7z
pcfx|.cue;.ccd;.toc;.chd
pcv2|.pc2;.zip;.7z
pc|.pc;.dos;.dosz
pdp1|.zip;.7z;.tap;.rim;.drm
pet|.a0;.b0;.crt;.d64;.d81;.prg;.tap;.t64;.zip
Philips CD-i|.chd;.cue;.toc;.nrg;.gdi;.iso;.cdr
pico8|.p8;.png;.exe;.zip;.7z;.m3u
pinballfx3|.pxp
pinball|.iso;.chd;.nds;.gba;.smc;.nes;.fig
plugnplay|.zip;.7z
plus4|.d64;.prg;.tap;.m3u;.zip;.7z
pokemini|.min;.zip;.7z
ports|.sh;.pk3;.exe;.game;.wad;.iwad;.pwad;.lmp;.7z;.map;.aba;.seq;.88;.pak;.zip;.libretro
prboom|.wad;.iwad;.pwad
ps2|.iso;.img;.pbp;.cue;.ccd;.bin;.mdf;.cso;.ima;.nrg;.dump;.gz;.chd
ps3|.iso;.img;.pbp;.cue;.ccd;.bin;.mdf;.cso;.ima;.nrg;.dump;.gz;.ps3;.psn;.squashfs;.m3u
pspminis|.cso;.iso;.pbp
psp|.cso;.iso;.pbp;.chd;.elf;.prx
psvita|.zip;.vpk
psxmini|.iso;.img;.pbp;.cue;.ccd;.mdf;.chd;.cbn;.m3u;.toc;.z;.znx
psx|.iso;.img;.pbp;.cue;.ccd;.cbn;.m3u;.chd;.mdf;.zip;.7z
ps_vita|.zip;.vpk
pv1000|.bin;.zip;.7z
pygame|.pygame
Radio-86RK Mikrosha|.rkm;.bin
residualvm|.rvm;.residualvm
retrobat|.menu
samcoupe|.dsk;.sad;.mgt;.sdf;.td0;.sbt;.cpm;.zip;.m3u
sameduck|.bin
Sammy Atomiswave|.dat;.lst;.zip;.7z;.bin
satellaview|.bs;.smc;.sfc;.zip;.7z;.st;.fig
saturnjp|.cue;.toc;.m3u;.ccd;.chd;.iso;.mds;.zip;.7z;.cso;.mdf
saturn|.cue;.toc;.m3u;.ccd;.chd;.iso;.mds;.zip;.7z;.cso;.mdf
scummvm|.squashfs
scummvmtmp|.squashfs
scummvmfr|.squashfs
scv|.bin;.zip;.7z
sdlpop|.sdlpop
Sega 32X|.32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
Sega CD|.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
Sega Dreamcast|.gdi;.cdi;.chd;.m3u;.mds;.mdf;.cue
Sega Game Gear|.gg;.zip;.7z;.bin
Sega Genesis|.gen;.md;.smd;.bin;.zip;.7z
Sega Master System|.sms;.zip;.7z;.bin
Sega Model 2|.zip;.plus
Sega Model 3|.zip;.plus
Sega Naomi 2|.zip;.lst;.bin;.dat;.7z
Sega Naomi|.lst;.dat;.7z;.zip;.bin
Sega Saturn|.cue;.toc;.m3u;.ccd;.chd;.iso;.mds;.zip;.7z;.cso;.mdf
Sega SG-1000|.sg;.zip;.7z;.rom;.bin;.gg;.sms
Sega ST-V|.zip
sega32xjp|32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
sega32xna|32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
